SosSec|Surname|Name|DOB
192307225630088|Surname 007|Name 007|1923-07-22
192401227625088|Surname 071|Name 071|1924-01-22
192508138110087|Surname 094|Name 094|1925-08-13
192609245343085|Surname 031|Name 031|1926-09-24
192901179731088|Surname 028|Name 028|1929-01-17
193108272820080|Surname 027|Name 027|1931-08-27
193209232761080|Surname 037|Name 037|1932-09-23
193305111600088|Surname 035|Name 035|1933-05-11
193308268690083|Surname 023|Name 023|1933-08-26
193309244264081|Surname 089|Name 089|1933-09-24
193409157396086|Surname 029|Name 029|1934-09-15
193602242860081|Surname 045|Name 045|1936-02-24
193605224635082|Surname 018|Name 018|1936-05-22
193607219952085|Surname 016|Name 016|1936-07-21
193701166891087|Surname 099|Name 099|1937-01-16
193801226867081|Surname 086|Name 086|1938-01-22
194004164097085|Surname 058|Name 058|1940-04-16
194006273662089|Surname 062|Name 062|1940-06-27
194007242985086|Surname 012|Name 012|1940-07-24
194102276278081|Surname 056|Name 056|1941-02-27
194401109522086|Surname 055|Name 055|1944-01-10
194403144122088|Surname 015|Name 015|1944-03-14
194405216416082|Surname 039|Name 039|1944-05-21
194406124972085|Surname 088|Name 088|1944-06-12
194408231775082|Surname 005|Name 005|1944-08-23
194503211786080|Surname 032|Name 032|1945-03-21
194505141617087|Surname 040|Name 040|1945-05-14
194607184919083|Surname 047|Name 047|1946-07-18
194609124018081|Surname 065|Name 065|1946-09-12
194903164743083|Surname 075|Name 075|1949-03-16
194904231496089|Surname 008|Name 008|1949-04-23
195109259839081|Surname 036|Name 036|1951-09-25
195201111040081|Surname 085|Name 085|1952-01-11
195407133146085|Surname 079|Name 079|1954-07-13
195503113387087|Surname 061|Name 061|1955-03-11
195507182198086|Surname 097|Name 097|1955-07-18
195507265839087|Surname 004|Name 004|1955-07-26
195707173405081|Surname 021|Name 021|1957-07-17
196007278646085|Surname 083|Name 083|1960-07-27
196104181967085|Surname 006|Name 006|1961-04-18
196202251162086|Surname 076|Name 076|1962-02-25
196206126766087|Surname 073|Name 073|1962-06-12
196207268417081|Surname 100|Name 100|1962-07-26
196402125245085|Surname 057|Name 057|1964-02-12
196403243459085|Surname 033|Name 033|1964-03-24
196504142149086|Surname 042|Name 042|1965-04-14
196806137002087|Surname 070|Name 070|1968-06-13
196809118965087|Surname 001|Name 001|1968-09-11
197104214416083|Surname 013|Name 013|1971-04-21
197105191129085|Surname 059|Name 059|1971-05-19
197208155552085|Surname 054|Name 054|1972-08-15
197305146781088|Surname 091|Name 091|1973-05-14
197403274568085|Surname 095|Name 095|1974-03-27
197504226429083|Surname 063|Name 063|1975-04-22
197607109451089|Surname 010|Name 010|1976-07-10
197607118308087|Surname 084|Name 084|1976-07-11
197707261073085|Surname 069|Name 069|1977-07-26
197802231190087|Surname 096|Name 096|1978-02-23
197904191629086|Surname 078|Name 078|1979-04-19
197906124706085|Surname 003|Name 003|1979-06-12
197908175510089|Surname 044|Name 044|1979-08-17
197908176619088|Surname 011|Name 011|1979-08-17
198207278331081|Surname 048|Name 048|1982-07-27
198208157748089|Surname 072|Name 072|1982-08-15
198301181642085|Surname 093|Name 093|1983-01-18
198403264498088|Surname 074|Name 074|1984-03-26
198409265708081|Surname 034|Name 034|1984-09-26
198502138158084|Surname 030|Name 030|1985-02-13
198606284279086|Surname 082|Name 082|1986-06-28
198609186860089|Surname 080|Name 080|1986-09-18
198809117291085|Surname 049|Name 049|1988-09-11
199002258357089|Surname 087|Name 087|1990-02-25
199105277925080|Surname 066|Name 066|1991-05-27
199108279483080|Surname 090|Name 090|1991-08-27
199405155581085|Surname 022|Name 022|1994-05-15
199702215635083|Surname 019|Name 019|1997-02-21
199704149100083|Surname 009|Name 009|1997-04-14
199803155604084|Surname 077|Name 077|1998-03-15
200005252590089|Surname 081|Name 081|2000-05-25
200102135008082|Surname 046|Name 046|2001-02-13
200108178794089|Surname 038|Name 038|2001-08-17
200108276835087|Surname 067|Name 067|2001-08-27
200201201090080|Surname 014|Name 014|2002-01-20
200208171702081|Surname 025|Name 025|2002-08-17
200307138815088|Surname 060|Name 060|2003-07-13
200405257514081|Surname 043|Name 043|2004-05-25
201008245610081|Surname 092|Name 092|2010-08-24
201101214668087|Surname 064|Name 064|2011-01-21
201201213837085|Surname 020|Name 020|2012-01-21
201301208777088|Surname 002|Name 002|2013-01-15
201401275567082|Surname 051|Name 051|2014-01-27
201501185736084|Surname 041|Name 041|2015-01-18
201607101503085|Surname 050|Name 050|2016-07-10
201608248153088|Surname 024|Name 024|2016-08-24
201703176473082|Surname 053|Name 053|2017-03-17
201801226230080|Surname 017|Name 017|2018-01-22
202005282741089|Surname 026|Name 026|2020-05-28
202101176067088|Surname 098|Name 098|2021-01-17
202105247064087|Surname 068|Name 068|2021-05-24
202106209802084|Surname 052|Name 052|2021-06-20
